1156.09 1267.63 0.0212 1025.94
1156.09 1267.51 0.0357 895.781
1156.09 1267.28 0.0206 1025.94
1156.09 1266.75 0.0219 1025.94
1156.09 1266.71 0.0361 895.781
1156.09 1266.58 0.0228 1025.94
1156.09 1255.68 0.0077 904.739
1156.09 1255.42 0.0095 1025.94
1156.09 1254.55 0.1187 813.094
1156.09 1252.73 0.0111 1025.94
1156.09 1250.11 0.063 895.781
1156.09 1249.68 0.131 813.094
1156.09 1249.33 0.0107 1025.94
1156.09 1249.2 0.0622 895.781
1156.09 1248.92 0.0122 1025.94
1156.09 1247.44 0.1274 895.781
1156.09 1247.25 0.1292 895.781
1156.09 1247.11 0.1277 895.781
1156.09 1246.88 0.127 895.781
1156.09 1246.24 0.124 813.094
1156.09 1245.94 0.1319 813.094
1156.09 1245.81 0.1329 813.094
1156.09 1244.88 0.1264 868.219
1156.09 1244.13 0.1273 868.219
1156.09 1243.66 0.1249 813.094
1156.09 1243.32 0.1306 813.094
1156.09 1243.25 0.1316 813.094
1156.09 1242.98 0.1275 813.094
1156.09 1242.91 0.1302 813.094
1156.09 1242.91 0.1268 813.094
1156.09 1242.76 0.131 868.219
1156.09 1242.72 0.1313 813.094
1156.09 1242.28 0.1326 813.094
1156.09 1242.26 0.132 868.219
1156.09 1241.9 0.1293 813.094
1156.09 1241.65 0.127 868.219
1156.09 1240.95 0.0218 976.402
1156.09 1240.94 0.131 813.094
1156.09 1239.69 0.0225 976.402
1156.09 1239.17 0.0378 1025.94
1156.09 1236.29 0.1651 840.656
1156.09 1235.57 0.0384 1025.94
1156.09 1234.58 0.1689 840.656
1156.09 1234.3 0.1647 840.656
1156.09 1234.28 0.1671 840.656
1156.09 1233.3 0.1272 895.781
1156.09 1233.19 0.0464 976.402
1156.09 1232.4 0.0457 976.402
1156.09 1232.21 0.0509 976.402
1156.09 1231.87 0.0445 976.402
1156.09 1231.79 0.0476 976.402
1156.09 1231.47 0.0525 976.402
1156.09 1230.93 0.0485 976.402
1156.09 1230.59 0.0519 976.402
1156.09 1230.13 0.1351 813.094
1156.09 1228.07 0 1128.68
1156.09 1226.57 0 1128.68
1156.09 1224.95 0 1128.68
1156.09 1222.01 0.0831 867.913
1156.09 1221.7 0 1128.68
1156.09 1221.23 0.111 698.25
1156.09 1219.47 0.1163 698.25
1156.09 1218.57 0.0848 867.913
1156.09 1217.29 0.008 904.739
1156.09 1217.09 0.052 976.402
1156.09 1217.04 0.0525 976.402
1156.09 1217.01 0.1812 995.313
1156.09 1216.87 0.051 976.402
1156.09 1216.77 0.0538 976.402
